PDB codes,0,1,2,3,4,5,6,7,8,9,Output
"1u6p , 1omh",0.3063516885403548,3.3163511453943033,-0.37988474811645573,0.20616946686246376,-0.520275393832038,0.007731999712072476,0.11275117072870809,1.0956835084425802,2.844156866941026,-0.5962451731921132,0
"5ytt , 2gkd",-0.6026462355806529,-3.0286857505929894,0.6430343959147344,0.20619958745754882,-0.0773874433992847,2.7103247093856218,-0.26566845207107664,1.2461612953720513,-0.5221176714824197,0.18573696013129815,1
"1s03 , 2kh9",-3.3827872734614064,0.45545093678125353,-0.8008016529603801,0.90741467975128,0.703348967650211,-0.4587978326796508,0.5752997580203256,0.3234640935913351,0.047309418322252085,-0.22041138412820316,1
"1u6p , 2la5",-1.7391406152631819,1.549275125325434,-0.041510707356757104,0.5570052361902338,1.042654892309898,-0.3266706041115697,0.2793277200853862,1.5234900294862126,2.8457332078567874,0.3725915924555851,0
"2mki , 2kh9",-0.859434770802939,-2.53353107783166,0.5737547606333614,-0.5307319032404847,1.1005043809181145,1.3569277745267836,2.5543012575751844,-0.6517821916358767,-0.2593695375382345,-0.22836126322601236,1
"2l41 , 4hio",0.873867722684554,-2.7732403632899953,-0.3326572506700805,-0.07589161895547009,-0.6279476314776206,-0.4258498476922968,0.15328457488903605,0.3069179688711193,-0.19933898444513745,-0.03573576732747559,0
"1s40 , 2mkk",-0.8045823645531894,-0.6197100317844201,0.16197732211084703,-0.621683153532187,0.047692319449788224,2.0147218666931113,-1.0065468979882861,-0.09388226222637142,0.13459053960863807,-0.06451745253801087,1
"2b6g , 1u63",5.33815745764306,1.5113286190470983,5.3369516816496745,6.015158403264746,-0.7491125357533794,-1.2734081286217762,0.27949769312669387,-1.4846920101775,0.10113200998987572,-0.26982910780223057,0
"2leb , 5ytx",-1.3802425826705322,-1.552593005761622,0.33677026285266826,-0.802770425146655,1.844288615102277,0.3212521855878164,1.07339540633779,-1.2692246107333673,0.42724764616276345,-0.42367128022056477,1
"4hid , 5ytt",-0.6481934620379177,-2.097843870653107,-0.05492566657800519,-0.49299006441774307,2.512201551105682,-0.2273637737202642,-0.031942198645968936,0.8313627815443237,-0.4252284625849327,-0.4843777401431212,1
"1wwe , 2mki",-0.31447095931192537,-1.638937361769725,-0.45123211128974483,-0.7284452517688328,1.6704122294828894,0.384721527183005,-1.5309722038946783,-2.187652147818793,0.1365137696481278,-0.27163153484160724,1
"1il2 , 5wwe",-2.7118481392408014,0.9193368465472906,4.632639503515174,-4.709063044691138,-1.5602022532030755,-0.6693888610403231,-0.4101696311280538,0.3174650088085152,-0.27551178035328755,-0.0724728658429247,0
"4hio , 1knz",7.966093325437797,5.33926908728484,-2.34997515712115,-2.7957640166288464,0.8429013840255238,-0.6137506748254457,-0.212306357144987,0.38147807371174314,-0.07634276523557026,-9.657495848791721e-05,1
"1u6p , 1knz",5.708901122967071,7.987624701143526,-2.7989143910152032,-2.2634566806464878,0.9770251224227532,-0.27542958784755733,-0.2063532310071878,0.41476296389403017,2.8512204229711444,-0.08928816725126454,1
"2la5 , 2kx5",-0.13340547335181369,-0.5559716034127593,0.32293431564179187,0.7339462538218772,-0.24191777546115217,1.1891464733639692,-1.4347871762572542,0.43998946727037075,0.4609081259521875,0.4062643166961982,0
"2kkf , 1rkj",-0.028884154936342343,-0.7190099401983742,-1.1701043547689067,0.30510507484490657,0.18748997263852216,-1.7266897918904935,0.7438346051948775,-0.5816570362861525,-0.10278144171435022,0.16383760957442425,0
"5ytx , 4him",0.5647943661625204,-2.281750830061273,-0.10143425904451049,-0.49055636076570064,-0.36581565943829797,1.8442980767026678,0.28612716486461726,-1.0276243218140788,-0.39563986275326346,-0.18596373668354302,0
"4pdb , 2kh9",-1.0832011069873704,-2.240988125576032,-0.3660426553261877,0.41093708795480166,0.776027639221245,-0.06774509793420314,0.7429179760233232,0.23279732501719808,0.03680692709106022,-0.22417831147970735,1
"4hj7 , 1je8",5.106642831231791,2.9443566873964295,3.6014429561768027,2.7583377232465565,1.7951305062052976,-0.450996062807382,0.4293539694351023,0.18714265593739104,-0.4351156299885851,-0.8282421309150064,0
"1omh , 1zzi",-2.163480832228499,1.3573504867791517,-0.019830474145617605,-0.3876021054660829,-0.0766490627100758,-0.5034863058581447,-0.7046737620073319,0.8893629965953034,-0.5642806064396155,0.00426412728054196,1
"4hj5 , 5ytt",-0.340557336043524,-2.4379855603332707,-0.2452713099018232,-0.3060201868647718,2.162714306502969,-1.9267100901890033,0.10606416284510703,0.8100020026062721,-0.4013401385752163,-0.49180525429706246,1
