Ro,Theta,Phi,3,4,5,6,7,8
4.043531640966842,0.20016115393185932,1.3486591039166058,8.607,1.775,4.679,-374.14,31.04,1.0
7.1956317022343494,0.44228863600644985,0.5702830559347695,8.785,2.996,-6.916,-374.1,37.99,1.0
3.7606135178451936,-1.2214895453453933,1.097429218199628,7.997,4.411,-7.786,-373.96,27.55,1.0
3.32476602017345,1.284569702759352,0.8262617098467215,10.071,1.171,-1.163,-373.72,27.45,1.0
2.918793936697142,1.3908591711699834,0.4348266201668432,8.028,3.239,-4.685,-373.71,31.58,1.0
3.9536704510239593,0.9487208562602035,1.1662421858850245,3.733,-1.995,-10.767,-373.33,44.05,1.0
5.74648065814199,0.9776228234632859,0.6263204903890877,5.333,4.773,-11.496,-373.2,28.37,1.0
5.99881722121953,0.458740543824548,0.8167667450420247,-15.095,6.314,-8.191,-373.19,43.09,1.0
5.569706493712213,0.8977715851304688,0.6085501906373586,1.001,3.712,-12.472,-372.95,28.21,1.0
6.188577491580759,0.08147862785269412,0.9068797216446601,5.536,0.759,9.551,-372.94,38.36,1.0
6.850233845541333,0.6910640601776356,0.37833171305214514,-7.596,2.012,-10.926,-372.81,41.16,1.0
3.417863248098145,0.8704223298665551,0.6398939789084389,12.456,-9.146,0.37,-372.8,32.84,1.0
1.0502721412567317,-0.865973740257833,0.1161958754039737,-8.917,-7.288,8.078,-372.7,29.12,1.0
7.106781677088442,0.052265123937665706,0.7170007334169766,5.066,2.255,10.516,-372.54,40.34,1.0
3.805345283440124,0.9877143752646012,1.1961502912488573,3.703,-1.734,-10.746,-372.51,44.02,1.0
4.841928452393736,0.49895942914426406,0.8880657392929723,0.144,-8.416,3.826,-372.48,34.84,1.0
2.930474769674703,1.3533573383139437,0.4605832452938697,7.654,3.455,-5.23,-372.37,31.21,1.0
3.548826073901058,1.4968699777210366,0.1981560152391067,6.51,-3.251,-0.663,-372.08,36.59,1.0
4.078643196100879,0.7328374009555112,0.8633822526806514,5.906,-7.206,-10.175,-371.78,37.44,1.0
3.423543121665039,0.6995134661445718,1.3818660092475479,13.25,7.004,-10.442,-371.33,42.8,1.0
7.113069966013269,0.4871816551988783,0.5897243071282059,9.58,0.073,-5.678,-371.18,36.4,1.0
5.365336489317329,0.9748628935129384,0.6121529068667028,2.343,1.937,-12.787,-370.99,27.69,1.0
2.509983028667724,0.6016243376148492,1.5264587927907654,-6.32,4.417,-11.438,-370.76,41.45,1.0
4.029852664366279,0.1949400831805271,1.3463272571361202,8.617,1.865,4.682,-370.63,31.07,1.0
5.544071134139604,0.16756600598446952,1.0143081617476564,4.755,-3.788,13.613,-370.43,28.67,1.0
3.531937299854005,0.9657281471471388,0.9082851990501185,10.146,-0.294,-10.45,-370.4,37.51,1.0
3.756513814509405,0.9994850184966914,1.2084153748442918,3.739,-1.746,-10.747,-370.33,44.04,1.0
